Sr No,Test Name,Test ID,Test Code,Dictionary ID,Profile,Test Amount,Cost Of Test,Outsource Amount,Minimum Selling Price,Revenue Cap,Test Type,Outsource Center,Sample Type,Test Category,Department Name,Accreditation,Integration Code,Short Text,CAP Test,Target TAT (HH:MM),Verification Status,Test Description
134,2 Hours Plasma Glucose,5301085,2 Hours Plasma Glucose,-,No,100,0.00,00,0.00,0.00,Pathology,SELF,Fluoride Plasma 2 Hr,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
135,1st Hr Plasma Glucose,5301084,1st Hr Plasma Glucose,-,No,100,0.00,00,0.00,0.00,Pathology,SELF,Fluoride Plasma 1 Hr,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
136,Oral Glucose Tolerance Test (GTT- sample),5301083,Oral Glucose Tolerance Test (GTT- sample),-,No,150,0.00,150,0.00,0.00,Pathology,SELF,Fluoride-P,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
137,BIOCHEMISTRY -TRUE FULL BODY SCREENING,5292852,-01,-,No,1000,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
138,BIOCHEMISTRY,5292037,02,-,No,1000,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
139,KIDNEY FUNCTION TEST BASIC(KFT BASIC),5288853,KFT B,-,Yes,600,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,
140,LFT & KFT  ,5288349,LFT & KFT,-,No,1200,0.00,1100,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
141,LFT & KFT extended,5288347,LFT & KFT,-,No,1200,0.00,1100,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
142,TRUE FEVER TESTING BASIC,5282908,TF001,-,Yes,800.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
143,TRUE FEVER TESTING,5282905,TF01,-,Yes,1100.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
144,DOUBLE MARKER(FIRST TRIMESTER SCREENING)*,5268483,DUAL MARKER(FIRST TRIMESTER SCREENING),-,No,2500,0.00,2500,1300.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,DUAL MARKER,NO,-,Not Verified,
145,TRUE FULL BODY TOTAL TESTING,5262789,TRUE FULL BODY TOTAL TESTING,-,Yes,1099.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
146,ANC PANEL,5253798,AN01,-,Yes,1350.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
147,Viral Marker,5239040,Viral Marker,-,No,950,0.00,650,0.00,0.00,Pathology,SELF,Serum,-,Immunology/Serology,Not enable,-,-,NO,-,Not Verified,
148,TRUE FULL BODY SCREENING TESTING,5238025,TRUE01,-,Yes,699.0,0.00,699.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
149,KIDNEY FUNCTION TEST Extended With Urine,5237388,BC03,-,Yes,600.0,0.00,600.0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,1068,-,NO,-,Not Verified,
150,KIDNEY FUNCTION TEST EXTENDED(KFT EXTENDED),5237380,KFT EXTENDED,-,No,900,0.00,700,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,
151,Liver Function Test (LFT) Extended,5229383,LFT EXTENDED,-,No,800,0.00,700,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,
152,BUN CREATNINE RATIO,5229099,-,-,Yes,399.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
153,Liver Function Test (LFT) MAX,5227054,DP0044,-,No,1000,0.00,0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,
154,Liver Function Test (LFT),5227053,LFT CEP,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,HLT0009,LFT CEP,NO,-,Not Verified,
155, KIDNEY FUNCTION TEST (KFT)*,5227052,KFT,-,No,700,0.00,600,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,
156,Complete Blood Count Cbc,5225513,Complete Blood Count CBC,-,No,300,0.00,249,0.00,0.00,Pathology,SELF,EDTA WB,Haematology,Hematology,Not enable,-,CBC,NO,24:0,Not Verified,
157,WIDAL TEST - SLIDE,5224941,WIDAL,-,No,120,0.00,120,0.00,0.00,Pathology,SELF,Serum,-,Immunology/Serology,Not enable,-,-,NO,-,Not Verified,WIDAL TEST -SLIDE METHOD
158,PROSTATIC PROFILE ,5210717,P84,-,Yes,1600.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Immunology,Not enable,-,-,NO,-,Not Verified,
159,STD DETECTION SCREENING PROFILE ,5210716,P569,-,Yes,1200.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
160,TORCH 5 Profile (IgG),5210714,p96,-,Yes,1200.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Immunology,Not enable,-,-,NO,-,Not Verified,
161,TORCH 5 PROFILE   (IgM),5210713,P97,-,Yes,1200.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Immunology,Not enable,-,-,NO,-,Not Verified,
162,TORCH 4 PROFILE   (IgG) ,5210712,P94,-,Yes,1000.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Immunology,Not enable,-,-,NO,-,Not Verified,
163,THROMBOPHILIA PROFILE,5210711,P88,-,Yes,7500.0,0.00,0.0,0.00,0.00,Pathology,SELF,Plasma,-,Hematology,Not enable,-,-,NO,-,Not Verified,
164,THROMBOSIS PROFILE(DEEP VEIN),5210710,P89,-,Yes,3850.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Hematology,Not enable,-,-,NO,-,Not Verified,
165,THYROID ANTIBODY PROFILE ,5210709,P90,-,Yes,1800.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Immunology,Not enable,-,ANTI TFT,NO,-,Not Verified,
166,TORCH 4 PROFILE   (IgM) ,5210708,P95,-,Yes,1000.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Immunology,Not enable,-,-,NO,-,Not Verified,
167,TRIPLE MARKER WITH GRAPH,5210707,P99,-,Yes,1800.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
168,URINE ROUTINE WITH CULTURE,5210706,P515,-,Yes,650,0.00,0.0,0.00,0.00,Pathology,SELF,Urine,-,Microbiology,Not enable,-,-,NO,-,Not Verified,
169,VITAMIN PROFILE,5210705,P532,-,Yes,1599.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Immunology,Not enable,-,-,NO,-,Not Verified,
170,PANCREATITIS DIAGNOSTIC PROFILE,5210704,P78,-,Yes,3850.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
171,PAIN SCREEN PROFILE,5210703,P77,-,Yes,2450.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
172,NEW BRON SCREENING-I,5210702,P76,-,Yes,3450.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
173,NEW BORN SCREENING,5210701,P75,-,Yes,2250.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
174,NEPHRO CHECK PROFILE,5210700,P73,-,Yes,1050.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
175,NEPHRO CHECK PROFILE,5210699,P73,-,Yes,1050.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
176,NEUROENDOCRINE PROFILE,5210698,P74,-,Yes,6550.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
177,NATURAL KILLER CELLS PROFILE ,5210697,P72,-,Yes,6550.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
178,MYOEPITHELIAL TUMOR DIGNOSTIC PROFILE,5210696,P71,-,Yes,5050.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
179,Liver Function Test (LFT) - Extended -,5210695,P66,-,Yes,600.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,LFT EXT,NO,-,Not Verified,
180,Lipid Profile Extended,5210693,P63,-,Yes,1999.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
181,LUPUS ANTICOAGULANT PROFILE,5210692,P67,-,Yes,1850.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
182,IRON PROFILE BASIC ,5210688,P110,-,Yes,600.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
183,IRON DEFICIENCY PROFILE,5210687,P59,-,Yes,799.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
184,INFERTILITY PROFILE ,5210686,P57,-,Yes,5500.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
185,INFECTIOUS DISEASE PROFILE TRIDOT,5210685,P514,-,Yes,950.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
186,INFECTIOUS DISEASE PROFILE,5210684,P56,-,Yes,1200.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
187,IHC-SPINDLE CELL PROFILE,5210683,P55,-,Yes,5050.0,0.00,0.0,0.00,0.00,Pathology,SELF,Slides & Blocks,-,Profiles,Not enable,-,-,NO,-,Not Verified,
188,IHC-ROUND CELL PROFILE ,5210682,P54,-,Yes,5050.0,0.00,0.0,0.00,0.00,Pathology,SELF,Slides & Blocks,-,Profiles,Not enable,-,-,NO,-,Not Verified,
189,HYPERTENSION PROFILE (BASIC):,5210681,P51,-,Yes,1000.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
190,HIV SCREEN,5210680,P48,-,Yes,2850.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Immunology/Serology,Not enable,-,-,NO,-,Not Verified,
191,HIRSUTISN PROFILE -I ,5210679,P45,-,Yes,2050.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
192,HIRSUTISM PROFILE-II,5210678,P46,-,Yes,5500.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
193,HIRSUTISM ADVANCE PROFILE-III ,5210677,P47,-,Yes,7200.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
194,HEPATITIS PROFILE ACUTE,5210676,P440,-,Yes,5800.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
195,HEPATITIS C VIRUS MONITORING PROFILE,5210675,P430,-,Yes,12500.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
196,HEPATITIS B PROFILE ,5210674,P420,-,Yes,3200.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
197,HAEMOGRAM WITH P/S,5210673,HM10,-,Yes,300,0.00,0.0,0.00,0.00,Pathology,SELF,EDTA WB,-,Hematology,Not enable,-,-,NO,-,Not Verified,
198,HAEMOGRAM (CBC+ESR),5210672,P330,-,Yes,400,0.00,0.0,0.00,0.00,Pathology,SELF,EDTA WB,Haematology,Hematology,Not enable,-,-,NO,-,Not Verified,
199,GLUCOSE - FASTING/ PP/ PROFILE,5210671,P541,-,Yes,90.0,0.00,0.0,0.00,0.00,Pathology,SELF,Fluoride Plasma,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
200,FEVER PROFILE-I,5210669,P310,-,Yes,550.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
201,FEVER PANEL-II ,5210668,P523,-,Yes,860.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
202,FEVER COMPREHENSIVE PROFILE,5210667,P101,-,Yes,2800.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
203,FERTILITY PROFILE-II ,5210666,P44,-,Yes,1199.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
204,FERTILITY PROFILE,5210665,P42,-,Yes,900.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
205,FERTILITY PROFILE IV ,5210664,P43,-,Yes,1200.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
206,TRUE FERTILITY TESTING PLUS,5210663,P41,-,Yes,1299.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
207,TRUE HORMONES TESTING,5210662,P40,-,Yes,1150.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
208,ENA PROFILE/ANA PROFILE (QUANTITATIVE),5210661,P512,-,Yes,7500.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
209,ELECTROLYTE PROFILE,5210660,P39,-,Yes,500,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,ELECT,NO,-,Not Verified,
210,DONOR PROFILE,5210658,P316,-,Yes,4500.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
211,TRUE DIABETESE TESTING,5210657,P643,-,Yes,499.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
212,COAGULATION PROFILE BASIC ,5210656,P30,-,Yes,700.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
213,COAGULATION PROFILE,5210655,P31,-,Yes,3200.0,0.00,0.0,0.00,0.00,Pathology,SELF,Plasma,-,Pathology,Not enable,-,-,NO,-,Not Verified,
214,CARDIOLIPIN PROFILE-I,5210654,P28,-,Yes,1800.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
215,CARDIOLIPIN PROFILE,5210653,P27,-,Yes,3000.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
216,CARDIAC MONITORING PROFILE -I,5210652,P26,-,Yes,2000.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
217,CARDIAC MONITORING PROFILE -I,5210651,P26,-,Yes,2000.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
218,CARDIAC MONITORING PROFILE,5210650,P25,-,Yes,4500.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
219,CANCER SCREENING-MALE,5210649,P665,-,Yes,2000.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
220,CANCER SCREENING-FEMALE,5210648,P632,-,Yes,2000.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
221,BOH PROFILE- I ,5210647,P506,-,Yes,4500.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
222,BIOT-II PROFILE,5210646,P22,-,Yes,2500.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
223,BIOT-I PROFILE,5210645,P23,-,Yes,2850.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
224,BAD OBSTERIC HISTORY  (BOH/ ABORTION) PROFILE,5209522,P21,-,Yes,5400.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
225,AUTOIMMUNE HEPATITIS PROFILE ,5209520,P18,-,Yes,6000.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
226,AUTOIMMUNE DISEASE PROFILE ,5209519,P17,-,Yes,7500.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
227,ARTHRITIS PROFILE REACTIVE,5209516,P15,-,Yes,3650.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
228,APOLIPROTEIN EVALUATION,5209515,P13,-,Yes,2000.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
229,APLA PROFILE ,5208354,P545,-,Yes,6500.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,0:0,Not Verified,C
230,ANTE NATAL PROFILE ,5208353,P12,-,Yes,1600.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
231,ANEMIA PROFILE ,5208352,P11,-,Yes,4299.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
232,TRUE ANAEMIA TESTING ,5208351,P622P,-,Yes,1099.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
233,TRUE ANAEMIA TESTING PLUS,5208350,P622,-,Yes,2000.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
234,TRUE FERTILITY PLUS TESTING- 1,5208349,P524,-,Yes,4500.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
235,PHILADELPHIA CHROMOSOME SCREENING,5208347,R004,-,No,3050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,168:0,Not Verified,
236,CULTURE - AEROBIC (OT SWAB),5208346,M043,-,No,600,0.00,0,0.00,0.00,Radiology,SELF,Any Specimen,Molecular Assays,Microbiology,Not enable,-,-,NO,-,Not Verified,
237,TUMOR NECROSIS FACTOR (TNF) - ALPHA,5208345,C276,-,No,3550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
238,ACUTE LYMPHOBLASTIC LEUKEMIA (ALL) CHARACTERIZATION PANEL,5208344,H185,-,No,10500,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Cytology,Not enable,-,-,NO,-,Not Verified,
239,FIP1L1 - PDGFRA GENE REARRANGEMENT,5208343,P081,-,No,7250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
240,JAPANESE ENCEPHALITIES VIRUS ANTIBODY-IGM,5208342,S137,-,No,1850.0,0.00,0.0,0.00,0.00,Radiology,SELF,Serum,Molecular Assays,Molecular Biology,Not enable,-,-,NO,-,Not Verified,
241,JAPANESE ENCEPHALITIES VIRUS by PCR,5208341,P082,-,No,5250,0.00,0,0.00,0.00,Radiology,SELF,Serum,Molecular Assays,Molecular Biology,Not enable,-,-,NO,-,Not Verified,
242,THEOPHYLIN,5208340,C288,-,No,1150,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
243,MYCOBACTERIUM COMPLEX - PCR TISSUE (QUALITATIVE),5208339,P009,-,No,1800,0.00,0,0.00,0.00,Radiology,SELF,Serum,Molecular Assays,Molecular Biology,Not enable,-,-,NO,-,Not Verified,
244,MANTLE CELL LYMPHOMA MARKER:CYCLIN D1,5208338,H108,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
245,SAAG(SERUM ASCITES-ALBUMIN GRADIENT),5208337,C232,-,No,550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
246,BK POLIOMA VIRUS DNA BY REAL TIME PCR (PLASMA),5208336,P204,-,No,5250,0.00,0,0.00,0.00,Radiology,SELF,Serum,Molecular Assays,Molecular Biology,Not enable,-,-,NO,-,Not Verified,
247,DNA PLOIDY & S PHASE - LEUKEMIA,5208335,H109,-,No,2850,0.00,0,0.00,0.00,Radiology,SELF,Serum,Molecular Assays,Molecular Biology,Not enable,-,-,NO,-,Not Verified,
248,STOOL FOR PH LEVEL,5208334,H502,-,No,100,0.00,0,0.00,0.00,Pathology,SELF,Stool,-,Microbiology,Not enable,-,-,NO,-,Not Verified,
249,"HEPATITIS B VIRUS - VIRAL LOAD, QUANTITATIVE",5208333,P002,-,No,5500,0.00,5500,0.00,0.00,Radiology,SELF,Serum,Molecular Assays,Molecular Biology,Not enable,-,-,NO,48:0,Not Verified,Previous blood reports should be attached. Fasting not required.
250,OSTEOCALCIN,5208332,C312,-,No,2450,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,36:0,Not Verified,
251,URINE DRUG SCREEN-CODEINE,5208331,C301,-,No,1150,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
252,BIOPSY- KIDNEY,5208330,A070,-,No,2350,0.00,0,0.00,0.00,Pathology,SELF,Tissue,-,Histopathology,Not enable,-,-,NO,-,Not Verified,Aspira Biochemistry
253,ADENOSINE DEAMINASE - SYNOVIAL FLUID,5208329,C270,-,No,500,0.00,0,0.00,0.00,Pathology,SELF,Any Specimen,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,ADA Adenosine Deaminase Synovial Fluid
254,SMEAR FOR GONOCOCCI,5208328,M041,-,No,250,0.00,0,0.00,0.00,Radiology,SELF,Serum,Routine (Pathology),Mycobacteriology,Not enable,-,-,NO,8:0,Not Verified,
255,ALBUMIN FLUID,5208327,C241,-,No,250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,8:0,Not Verified,
256,ACUTE MYELOID LEUKEMIA (AML)- NPM1 GENE MUTATIONS,5208326,P092,-,No,4550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
257,CLONAL RESTRICTION / B - CELL MATURITY MARKER : LAMBDA LIGHT CHAIN,5208325,H102,-,No,1550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,8:0,Not Verified,
258,ACUTE MYELOID LEUKEMIA (AML) - FLT3 MUTATIONS,5208324,P089,-,No,5850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
259,CLONAL RESTRICTION / B - CELL MATURITY MARKER : KAPPA LIGHT CHAIN,5208323,H101,-,No,1550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,8:0,Not Verified,
260,PAN B - CELL MARKER : CD 19,5208322,H067,-,No,1550,0.00,0,0.00,0.00,Pathology,SELF,Serum,Haematology,Pathology,Not enable,-,-,NO,72:0,Not Verified,
261,CITRATE 24 Hrs. Urine,5208321,C320,-,No,1250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
262,CYCLOSPORINE CO LEVEL,5208320,C1251,-,No,3250,0.00,0,0.00,0.00,Pathology,SELF,Serum,Immunology,Pathology,Not enable,-,-,NO,48:0,Not Verified,
263,ALPHA-1 ANTI TRYPSIN QUANTITATIVE,5208319,C024,-,No,1850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
264,ALPHA-1 ACID GLYCOPROTEIN,5208318,C260,-,No,2450,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
265,NICOTINE/COTININE(URINE),5208317,C248,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
266,HISTONE ANTIBODY,5208316,S140,-,No,2850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
267,7-OH KETOSTEROIDS - 24Hrs. Urine,5208315,C214,-,No,5250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,"(1) Discard the first urine passed in the morning. Note down the exact time. (2) From this time onwards collect all subsequent urine samples in the container provided. (3) Collection should be done till same time next day. (4) Return the urine sample container within 1 hour, the next day. (5) Do not discard the preservative in the container."
268,SPECIAL STAINS,5208314,A057,-,No,850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
269,IHC : CD 56,5208313,H088,-,No,1750,0.00,1750,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
270,MYOGLOBIN - URINE,5208312,C139,-,No,1850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
271,HUMAN EPIDIDYMIS PROTEIN 4 (HE-4),5208311,C296,-,No,2850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,96:0,Not Verified,
272,LEUCOCYTE COMMON ANTIGEN (LCA):CD 45,5208310,H087,-,No,1550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
273,GLYCOPHORIN A,5208309,C641,-,No,2550,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
274,METHYL MALONIC ACID (MMA),5208308,C330,-,No,1950,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
